Country,Year,Feature,SHAP_Value
MOZ,2040,Ecosystems,0.0036263971435015257
MRT,1995,Ecosystems,-0.0012116317313612612
MRT,1996,Ecosystems,-0.0013429303916433829
MRT,1997,Ecosystems,-0.0014994381397145779
MRT,1998,Ecosystems,-0.001697729072312568
MRT,1999,Ecosystems,-0.0013299500809930737
MRT,2000,Ecosystems,-0.0008433175553733431
MRT,2001,Ecosystems,-0.000827819581745225
MRT,2002,Ecosystems,-0.0005689982111167003
MRT,2003,Ecosystems,-0.0004930858410862342
MRT,2004,Ecosystems,-0.0007670474850058726
MRT,2005,Ecosystems,-0.000648952058914689
MRT,2006,Ecosystems,-5.849293137616786e-05
MRT,2007,Ecosystems,-0.0007840871795786385
MRT,2008,Ecosystems,0.0002688288381478513
MRT,2009,Ecosystems,-0.0005671416049326009
MRT,2010,Ecosystems,0.00033802942776850107
MRT,2011,Ecosystems,0.001730028816234528
MRT,2012,Ecosystems,0.0010703569894541251
MRT,2013,Ecosystems,0.0004336683058077316
MRT,2014,Ecosystems,-7.04978048903887e-05
MRT,2015,Ecosystems,0.0001026460128007872
MRT,2016,Ecosystems,0.0003046442558110896
MRT,2017,Ecosystems,0.0006648180657155425
MRT,2018,Ecosystems,0.0006321622784710623
MRT,2019,Ecosystems,0.0006028212426166107
MRT,2020,Ecosystems,0.0007116995117862799
MRT,2021,Ecosystems,0.0003387785477682618
MRT,2022,Ecosystems,-0.0008430479578075738
MRT,2023,Ecosystems,-0.0008166942770518589
MRT,2024,Ecosystems,-0.0008536744386165053
MRT,2025,Ecosystems,-0.0008993019956942587
MRT,2026,Ecosystems,-0.000885158621579689
MRT,2027,Ecosystems,-0.0008768674667347623
MRT,2028,Ecosystems,-0.0008624620078565041
MRT,2029,Ecosystems,-0.0009532515782879204
MRT,2030,Ecosystems,-0.0009503381045272417
MRT,2031,Ecosystems,-0.0009537488238317634
MRT,2032,Ecosystems,-0.0009549241763535854
MRT,2033,Ecosystems,-0.0009548795669231367
MRT,2034,Ecosystems,-0.0009545561058823238
MRT,2035,Ecosystems,-0.0009543418893299303
MRT,2036,Ecosystems,-0.0008663720986247128
MRT,2037,Ecosystems,-0.0008665465612560667
MRT,2038,Ecosystems,-0.0008683161870531237
MRT,2039,Ecosystems,-0.0008681546785536684
MRT,2040,Ecosystems,-0.0008683539600827866
MUS,1995,Ecosystems,0.0018433850893962707
MUS,1996,Ecosystems,0.00191500904657486
MUS,1997,Ecosystems,0.00434409005324886
MUS,1998,Ecosystems,0.003862181837137393
MUS,1999,Ecosystems,0.003936527712599672
MUS,2000,Ecosystems,0.0042593755795965246
MUS,2001,Ecosystems,0.0016101165911667891
MUS,2002,Ecosystems,0.004198944619739034
MUS,2003,Ecosystems,0.004220627926618901
MUS,2004,Ecosystems,0.004152878201588698
MUS,2005,Ecosystems,0.004484784710010306
MUS,2006,Ecosystems,0.004359187631170109
MUS,2007,Ecosystems,0.004420063042284918
MUS,2008,Ecosystems,0.004359929315284616
MUS,2009,Ecosystems,0.004439252215063539
MUS,2010,Ecosystems,0.0019568606249729214
MUS,2011,Ecosystems,0.004637782643744851
MUS,2012,Ecosystems,0.0045337352308400134
MUS,2013,Ecosystems,0.004438668132589089
MUS,2014,Ecosystems,0.004402728193647804
MUS,2015,Ecosystems,0.0045187206383200075
MUS,2016,Ecosystems,0.004779722810026342
MUS,2017,Ecosystems,0.004380980460828642
MUS,2018,Ecosystems,0.004278200715025736
MUS,2019,Ecosystems,0.0043104286404246454
MUS,2020,Ecosystems,0.005107401648862701
MUS,2021,Ecosystems,0.005112942266609675
MUS,2022,Ecosystems,0.005121109588508006
MUS,2023,Ecosystems,0.005081259002312765
MUS,2024,Ecosystems,0.005026720831475156
MUS,2025,Ecosystems,0.005105628035220925
MUS,2026,Ecosystems,0.0051492219079484446
MUS,2027,Ecosystems,0.005170563148425147
MUS,2028,Ecosystems,0.005196374936993074
MUS,2029,Ecosystems,0.005198651309681695
MUS,2030,Ecosystems,0.00539119572473712
MUS,2031,Ecosystems,0.005600864004993963
MUS,2032,Ecosystems,0.005636970502826781
MUS,2033,Ecosystems,0.005682876712760314
MUS,2034,Ecosystems,0.005731095083997129
MUS,2035,Ecosystems,0.0057562752018252596
MUS,2036,Ecosystems,0.005789964840885636
MUS,2037,Ecosystems,0.00576761926810897
MUS,2038,Ecosystems,0.005763583255103473
MUS,2039,Ecosystems,0.005785265991746829
MUS,2040,Ecosystems,0.005794319604435217
MWI,1995,Ecosystems,0.0042439037788193044
MWI,1996,Ecosystems,0.004246976196947987
MWI,1997,Ecosystems,0.004228521243807275
MWI,1998,Ecosystems,0.004341473968265911
MWI,1999,Ecosystems,0.00436360416367925
MWI,2000,Ecosystems,0.004371425768487336
MWI,2001,Ecosystems,0.003965838886772674
MWI,2002,Ecosystems,0.003420397818707094
MWI,2003,Ecosystems,-0.0010051573964577646
MWI,2004,Ecosystems,-0.0009445816038324713
MWI,2005,Ecosystems,-0.000961322466110072
MWI,2006,Ecosystems,-0.0008284516979814489
MWI,2007,Ecosystems,-0.0008125066416634851
MWI,2008,Ecosystems,-0.00060577895674866
MWI,2009,Ecosystems,-0.0003067625682381239
MWI,2010,Ecosystems,-0.00047941036260100206
MWI,2011,Ecosystems,-0.0005504105049638069
MWI,2012,Ecosystems,-0.0009158331025366521
MWI,2013,Ecosystems,-0.0011988933853561141
MWI,2014,Ecosystems,-0.001828995870847549
MWI,2015,Ecosystems,-0.001854757684188768
MWI,2016,Ecosystems,-0.0017150544629703321
MWI,2017,Ecosystems,-0.001665224123491624
MWI,2018,Ecosystems,-0.0020857742630349526
MWI,2019,Ecosystems,-0.0018210789234319321
MWI,2020,Ecosystems,-0.0017175076845042667
